museum_uri,museum_name,city,website,museum_type_label,museum_type_en
http://www.wikidata.org/entity/Q1013565,Kasteel Radboud,Medemblik,http://www.kasteelradboud.nl,kasteel,castle
http://www.wikidata.org/entity/Q101560973,Leiderdorps Museum, Leiderdorp,https://www.leiderdorpsmuseum.nl/,,
http://www.wikidata.org/entity/Q103849450,Museum De kantfabriek,Horst aan de Maas,http://www.museumdekantfabriek.nl/,,
http://www.wikidata.org/entity/Q104441744,Van Doesburg-Rinsemahuis,Smallingerland,https://www.museumdrachten.nl/museumwoning-vdrh/,woonhuis,house
http://www.wikidata.org/entity/Q104524855,Royal Delft Museum,Delft,https://museum.royaldelft.com/,,
http://www.wikidata.org/entity/Q1051928,Kroller Muller Museum,Otterlo,http://krollermuller.nl,beeldenpark; cultureel instituut; kunstmuseumgebouw; nationaal museum,sculpture park; cultural institute; art museum building; national museum
http://www.wikidata.org/entity/Q1056152,Paleis op de Dam,Amsterdam,https://www.paleisamsterdam.nl/; https://www.paleisamsterdam.nl/en/,gemeentehuis; koninklijk paleis,Town Hall; Royal Palace
http://www.wikidata.org/entity/Q106464757,HomeComputerMuseum,Helmond,https://www.homecomputermuseum.nl/en%20HomeComputerMuseum,computermuseum,computer museum
http://www.wikidata.org/entity/Q106546760,Bonami Games & Computers Museum,Epe,https://computermuseum.nl/,,
http://www.wikidata.org/entity/Q106554988,Museum Rotterdam,Rotterdam,https://museumrotterdam.nl/,,
http://www.wikidata.org/entity/Q106603214,FENIX Landverhuizersmuseum,Rotterdam,https://www.fenix.nl/,migratiemuseum,Migration Museum
http://www.wikidata.org/entity/Q106977687,Keramisch Museum Goedewaagen,Goedewaagen,https://www.keramischmuseumgoedewaagen.nl/,keramiekmuseum,ceramics museum
http://www.wikidata.org/entity/Q107060192,Club Solo,Breda,https://clubsolo.nl/,kunstmuseumgebouw,art museum building
http://www.wikidata.org/entity/Q107097389,Museum Voorschoten,Voorschoten,https://website.museumvoorschoten.nl/,,
http://www.wikidata.org/entity/Q107335019,Museum of Comic Art,Noordwijk,https://www.museumofcomicart.nl/,,
http://www.wikidata.org/entity/Q107656756,Museum EICAS,Deventer,https://www.eicas.nl/,,
http://www.wikidata.org/entity/Q108290266,Beeldenbos Noord,Amsterdam,http://www.beeldenbosnoord.nl,beeldenpark,image park
http://www.wikidata.org/entity/Q10896041,Van Goghhuis,Zundert,http://www.vangoghhuis.com,,
http://www.wikidata.org/entity/Q109205757,Nederlands Zuivelmuseum,Heerde,https://www.zuivelmuseum.nl,,
http://www.wikidata.org/entity/Q109382770,Cultuur Historisch Museum Oene,Epe,https://museumoene.nl,,
http://www.wikidata.org/entity/Q109771319,Herman Brood Museum & Experience,Zwolle,https://hermanbroodmuseum.nl/,,
http://www.wikidata.org/entity/Q110053532,Museum van de Vrouw,Echt,https://www.museumvandevrouw.nl/,,women museum
http://www.wikidata.org/entity/Q110062508,Mobach Keramiek Museum,Utrecht,https://www.mobach-keramiek.nl/nl/museum/,keramiekmuseum,ceramics museum
http://www.wikidata.org/entity/Q110281534,Museum Huis Doorn,Doorn,https://www.huisdoorn.nl/,museumhuis; nationaal museum,Museum House; National Museum
http://www.wikidata.org/entity/Q110282067,Museumhaven Zeeland,Schouwen-Duiveland,https://www.museumhavenzeeland.nl/,museumhaven,museum port
