activity_id,museum_name,museum_category,city,activity_url,activity_title,has_digital_experience,digital_experience_description,special_needs_accessible,accessibility_description,target_age,lang_nl,lang_en,lang_de,lang_fr,lang_es,lang_it,lang_pap,lang_ru,lang_ja,lang_zh,lang_uk,lang_ar,lang_pt,lang_ko
1,Rembrandthuis,historical museum; art museum building; museum house,Amsterdam,https://www.rembrandthuis.nl/nl/plan-je-bezoek/bezoekersinformatie/families-kinderen/,Families & Kinderen,True,"multimedia, tablet",True,general accessibility,6+ jaar,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2,Rembrandthuis,historical museum; art museum building; museum house,Amsterdam,https://www.rembrandthuis.nl/nl/plan-je-bezoek/onderwijs/,Onderwijs,True,tablet,True,general accessibility,,True,False,False,False,False,False,False,False,False,False,False,False,False,False
3,Rembrandthuis,historical museum; art museum building; museum house,Amsterdam,https://www.rembrandthuis.nl/en/plan-your-visit/visitor-information/families-with-children/,Families & Children,True,"multimedia, tablet",True,general accessibility,,True,True,False,False,False,False,False,False,False,False,False,False,False,False
4,Rembrandthuis,historical museum; art museum building; museum house,Amsterdam,https://www.rembrandthuis.nl/de/plane-deinen-besuch/besucherinformation/familien-und-kinder/,Familien & Kinder,True,"multimedia, tablet",True,general accessibility,,False,False,True,False,False,False,False,False,False,False,False,False,False,False
5,Rembrandthuis,historical museum; art museum building; museum house,Amsterdam,https://www.rembrandthuis.nl/nl/plan-je-bezoek/activiteiten-voor-families-en-kinderen/,Activiteiten voor families en kinderen,True,tablet,True,general accessibility,10+ jaar; 12+ jaar; 8+ jaar,True,False,False,False,False,False,False,False,False,False,False,False,False,False
6,Rembrandthuis,historical museum; art museum building; museum house,Amsterdam,https://www.rembrandthuis.nl/en/plan-your-visit/education/,education,True,tablet,True,general accessibility,,False,True,False,False,False,False,False,False,False,False,False,False,False,False
7,Drents Museum,,Assen,https://drentsmuseum.nl/deelcollecties/schilders-van-drenthe,Op deze pagina,True,app,True,"people with disabilities, sensory-friendly, sign language support, visual impairment support, wheelchair access",,True,True,False,False,False,False,False,False,False,False,False,False,False,False
8,Drents Museum,,Assen,https://drentsmuseum.nl/zien-en-doen/voor-families,In ons museum beleef je iedere keer weer een nieuw avontuur!,True,app,True,"people with disabilities, sensory-friendly, sign language support, visual impairment support, wheelchair access",,True,True,False,False,False,False,False,False,False,False,False,False,False,False
9,Drents Museum,,Assen,https://drentsmuseum.nl/onderwijs,Onderwijs nieuwsbrieven,True,app,True,"people with disabilities, sensory-friendly, sign language support, visual impairment support, wheelchair access",,True,True,False,False,False,False,False,False,False,False,False,False,False,False
10,Drents Museum,,Assen,https://drentsmuseum.nl/en/subcollections/schilders-van-drenthe,On this page,False,,True,"people with disabilities, sensory-friendly, sign language support, visual impairment support, wheelchair access",,True,True,True,True,False,False,False,False,False,False,False,False,False,False
11,Drents Museum,,Assen,https://drentsmuseum.nl/collectie/kind-onder-bomen-voorstudie-spelende-kinderen,Drents Museum,True,app,True,"people with disabilities, sensory-friendly, sign language support, visual impairment support, wheelchair access",,True,True,False,False,False,False,False,False,False,False,False,False,False,False
12,Drents Museum,,Assen,https://drentsmuseum.nl/onderwijs/hbo-wo,Goed om  te weten,True,app,True,"people with disabilities, sensory-friendly, sign language support, visual impairment support, wheelchair access",,True,True,False,False,False,False,False,False,False,False,False,False,False,False
13,Drents Museum,,Assen,https://drentsmuseum.nl/onderwijs/voortgezet-onderwijs,Nieuwsbrief voortgezet onderwijs,True,app,True,"people with disabilities, sensory-friendly, sign language support, visual impairment support, wheelchair access",,True,True,False,False,False,False,False,False,False,False,False,False,False,False
14,Drents Museum,,Assen,https://drentsmuseum.nl/onderwijs/online-lessen,Programma's,True,"app, interactive",True,"people with disabilities, sensory-friendly, sign language support, visual impairment support, wheelchair access",,True,True,False,False,False,False,False,False,False,False,False,False,False,False
15,Drents Museum,,Assen,https://drentsmuseum.nl/onderwijs/aanbod/wereldgeschiedenis-in-je-achtertuin,Praktische informatie,True,"app, interactive",True,"people with disabilities, sensory-friendly, sign language support, visual impairment support, wheelchair access",,True,True,False,False,False,False,False,False,False,False,False,False,False,False
16,Drents Museum,,Assen,https://drentsmuseum.nl/onderwijs/basisonderwijs,Nieuwsbrief basisonderwijs,True,"app, interactive",True,"people with disabilities, sensory-friendly, sign language support, visual impairment support, wheelchair access",,True,True,False,False,False,False,False,False,False,False,False,False,False,False
17,Drents Museum,,Assen,https://drentsmuseum.nl/onderwijs/aanbod,Enthousiast geworden?,True,app,True,"people with disabilities, sensory-friendly, sign language support, visual impairment support, wheelchair access",,True,True,False,False,False,False,False,False,False,False,False,False,False,False
18,Drents Museum,,Assen,https://drentsmuseum.nl/onderwijs/aanbod/het-grootste-poppenhuis-van-nederland,Praktische informatie,True,"app, interactive",True,"people with disabilities, sensory-friendly, sign language support, visual impairment support, wheelchair access",,True,True,False,False,False,False,False,False,False,False,False,False,False,False
19,Moco Museum,art museum building,Amsterdam,https://www.mocomuseum.com/schools-and-students/,Schools and Students,True,app,True,"general accessibility, wheelchair access",,True,True,True,True,True,False,False,False,False,False,False,False,False,False
20,Moco Museum,art museum building,Amsterdam,https://www.mocomuseum.com/nl/scholen-en-studenten/,Scholen en studenten,True,app,True,"general accessibility, wheelchair access",,True,True,True,True,True,False,False,False,False,False,False,False,False,False
21,Landbouw-Juttersmuseum Swartwoude,,Buren,https://www.amelandermusea.nl/excursies-exposities/freetour-nes/,Startlocatie,False,,False,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False
22,Landbouw-Juttersmuseum Swartwoude,,Buren,https://www.amelandermusea.nl/locaties/koren-en-oliemolen-de-phenix/,Rolstoelvriendelijk,False,,False,,13+ jaar,True,False,True,False,False,False,False,False,False,False,False,False,False,False
23,Landbouw-Juttersmuseum Swartwoude,,Buren,https://www.amelandermusea.nl/locaties/bunkermuseum-ameland/,Niet Rolstoelvriendelijk,False,,False,,,True,False,True,False,False,False,False,False,False,False,False,False,False,False
24,Landbouw-Juttersmuseum Swartwoude,,Buren,https://www.amelandermusea.nl/locaties/de-amelander-vuurtoren/,Niet rolstoelvriendelijk,False,,False,,13+ jaar,True,False,True,False,False,False,False,False,False,False,False,False,False,False
