activity_id,museum_name,museum_category,city,activity_url,activity_title,target_group,has_digital_experience,digital_experience_description,special_needs_accessible,accessibility_description,target_age,lang_nl,lang_en,lang_de,lang_fr,lang_es,lang_it,lang_pap,lang_ru,lang_ja,lang_zh,lang_uk,lang_ar,lang_pt,lang_ko,lang_he
1,Rembrandthuis,art museum; museum house,Amsterdam,https://www.rembrandthuis.nl/nl/plan-je-bezoek/bezoekersinformatie/families-kinderen/,Adventure with Kwast,family,TRUE,multimedia tour,TRUE,general accessibility,6+ years,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,Rembrandthuis,art museum; museum house,Amsterdam,https://www.rembrandthuis.nl/en/plan-your-visit/visitor-information/families-with-children/,How did Rembrandt make his paint and etchings?,family,TRUE,multimedia tour,TRUE,general accessibility,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3,Rembrandthuis,art museum; museum house,Amsterdam,https://wandelenmetrembrandt.nl/en,City walk with Rembrandt,family,TRUE,app; interactive map,TRUE,general accessibility,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4,Rembrandthuis,art museum; museum house,Amsterdam,https://www.rembrandthuis.nl/nl/plan-je-bezoek/onderwijs/basis-onderwijs/,Basisonderwijs tour,school,FALSE,,FALSE,,5+ years,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5,Rembrandthuis,art museum; museum house,Amsterdam,https://www.rembrandthuis.nl/nl/plan-je-bezoek/onderwijs/voortgezet-onderwijs/,Voortgezet tour,school,FALSE,,FALSE,,12+ years,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6,Rembrandthuis,art museum; museum house,Amsterdam,https://www.rembrandthuis.nl/nl/plan-je-bezoek/onderwijs/mbo/,MBO tour,school,TRUE,online tour,FALSE,,16+ years,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
7,Rembrandthuis,art museum; museum house,Amsterdam,https://www.rembrandthuis.nl/nl/plan-je-bezoek/onderwijs/speciaal-basisonderwijs/,Speciaal basisonderwijs tour,school,FALSE,,TRUE,general accessibility,5+ years,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
8,Rembrandthuis,art museum; museum house,Amsterdam,https://www.rembrandthuis.nl/nl/plan-je-bezoek/onderwijs/voortgezet-speciaal-onderwijs/,Voortgezet speciaal onderwijs tour,school,FALSE,,TRUE,general accessibility,12+ years,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
9,Drents Museum,art museum; historical museum,Assen,https://drentsmuseum.nl/activiteiten/archeologie-doedagen,Archeaologie Doedagen,family,TRUE,multimedia tour,TRUE,wheelchair access,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10,Drents Museum,art museum; historical museum,Assen,https://drentsmuseum.nl/tentoonstellingen/labyrinthia,Labyrinthia,family,TRUE,multimedia tour; tablet,TRUE," visual impairment support, wheelchair access",3+ years,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
11,Drents Museum,art museum; historical museum,Assen,https://drentsmuseum.nl/plan-je-bezoek/toegankelijk-bezoek/prikkelarm-museum-bezoek,Prikkelarm museum bezoek,family,TRUE,multimedia tour; video,TRUE,"sensory-friendly, low stimulus",,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
12,Drents Museum,art museum; historical museum,Assen,https://drentsmuseum.nl/activiteiten/kunst-doedagen,Kunst Doedagen,family,FALSE,,TRUE,wheelchair access,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
13,Drents Museum,art museum; historical museum,Assen,https://drentsmuseum.nl/plan-je-bezoek/toegankelijk-bezoek/musea-in-gebaren,Musea in Gebaren (NGT tour),family,FALSE, ,TRUE,sign language tour,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
14,Drents Museum,art museum; historical museum,Assen,https://drentsmuseum.nl/onderwijs/aanbod/mysterie-in-het-veen,Mysterie in het veen,school,TRUE,online role playing game,FALSE,,10-12 years,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
15,Drents Museum,art museum; historical museum,Assen,https://drentsmuseum.nl/onderwijs/aanbod/het-grootste-poppenhuis-van-nederland,Een historische ontmoeting - Beleef de 18e eeuw,school,FALSE,,TRUE,general accessibility; wheelchair access,8-12 years,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
16,Drents Museum,art museum; historical museum,Assen,https://drentsmuseum.nl/onderwijs/aanbod/ook-een-stoel-vertelt-een-boel,Ook een stoel vertelt een boel,school,FALSE,,TRUE,general accessibility; wheelchair access,6-8 years,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
17,Drents Museum,art museum; historical museum,Assen,https://drentsmuseum.nl/onderwijs/aanbod/een-koffer-vol-spullen,Een kofer vol spullen,school,FALSE,,TRUE,general accessibility; wheelchair access,5-8 years,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
18,Drents Museum,art museum; historical museum,Assen,https://drentsmuseum.nl/onderwijs/aanbod/po-online-workshop-stillevens-vind-je-overal,Online Workshop Stillevens Vind Je Overal,school,TRUE,online tour,TRUE,general accessibility; wheelchair access,10-12 years,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
